team,3-o'rtalariga tegadi,Fouls,att qalam sohasiga tegadi,avg yoshi,bepul tepishlarni o'tkazadi,bir necha daqiqa,bloklangan o'qlar,bloklangan o'tishlar,bloklar,burchak kirdi,burchak tepdi,burchak tepishlari,burchak to'g'ri tepadi,daqiqa,daqiqa 90s,daqiqa boshiga boshlash,def qalam sohasiga tegadi,dribble mashg'ulot,dribble mashg'ulot pct,dribbled o'tgan,dribbles tugallangan pct,dribbles vs,dribbles yakunlandi,driblinglar,egalik qilish,foydalanilmagan subs,gca,gca dribbles,gca himoyasi,gca ifloslangan,gca jonli o'tadi,gca o'lik o'tdi,gca o'qlari,gca per90,gk aloqalar,gk avg masofa def amallar,gk daqiqa,gk def amallar per90 qalam maydoni tashqarisida,gk def amallarni qalam maydonidan tashqarida,gk g'alaba qozondi,gk gol tepdi,gk gol tepish uz avg,gk gollar qarshi per90,gk o'tishlar,gk o'tkazmalar tashlash,gk o'yinlar,gk o'yinlari boshlanadi,gk oʻtish pct ishga tushirildi,gk oʻtish yoʻlga qoʻyildi,gk oʻtishlar ishga tushirildi,gk pct gollari ishga tushirildi,gk pct oʻtishlari ishga tushirildi,gk psxg,gk psxg net,gk psxg net per90,gk qalam att,gk qalam saqlandi,gk qalamga ruxsat berilgan,gk qalamlar oʻtkazib yuborilgan,gk qalamlar pct saqlash,gk saqlash pct,gk saqlaydi,gk toza varaqlar,gk toza varaqlar pct,gk uzunlik avg o'tadi,gk xochlar,gk xochlar to'xtatildi,gk xochlar toʻxtatilgan pct,gk yo'qotishlar,gollar har bir o'q uchun,gollar per90 uchun qalam yordam beradi,gollar yordam beradi per90,har bir o'yin uchun daqiqa,har bir sub'ekt uchun daqiqa,havoda g'alaba qozondi,havoda g'olib bo'lgan pct,havoda yo'qolgan,insni tashlash,ishlangan qalamlar,ishlatilgan o'yinchilar,jarima maydoniga o'tadi,jarima maydoniga o'tadi,jonli o'tadi,jonli to'pga tegadi,kartochkalar qizil,kartochkalar sariq,kartochkalar sariq qizil,kompyuter vositasidan oʻtadi,maqsadlar,maqsadlar boshiga90,maqsadlar qalamlar,maqsadlar qalamlar per90,mashg'ulot,mashg'ulot 3-o'rtada,mashg'ulot att 3-o'rin,mashg'ulot def 3-o'rin,mashg'ulot g'olibi,nishonchadagi o'qlar,nishonga har bir o'q uchun gollar,nishonga o'qlar,nishonga o'qlar per90,noto'g'ri yo'llar,npxg,npxg har bir o'q uchun,npxg net,npxg per90,npxg xg assist per90,npxg xg yordam,o'lik o'tkazadi,o'qlar,o'qlar bepul tepishlar,o'qlar boshiga90,o'rtacha o'q masofasi,o'tgan o'rta,o'tish tugallandi,o'tish tugallangan o'rta,o'tish xa,o'tishlar,o'tishlar bloklangan,o'tishlar uzoq vaqtdan beri bajarildi,o'tkazgichlar,o'yin boshiga ball,o'yinlar,o'yinlar boshlanadi,o'yinlar subs,o'yinlar yakunlandi,o'z maqsadlari,offsaydlar,offsaydlardan o'tadi,olingan progressiv o'tishlar,pct qisqa o'tkazadi,pctdan oʻtadi,plus minus per90,progressiv masofadan o'tadi,progressiv o'tishlar,qabul qilingan o'tishlar,qalamlar att,qalamlar e'tirof etildi,qalamlar qo'lga kiritdi,qarshi gk bepul tepish gollari,qarshi gk burchak tepish gollari,qarshi gk gollar,qarshi gk o'z gollari,qarshi gollar bo'yicha,qarshi nishonga gk o'qlar,qarshi nishonga gk psnpxg har bir o'q,qarshi xg ustida,qisqa o'tadi,qisqa o'tishlar,qo'g'rilgan,qo'shimcha minus,sca buzildi,sca dribbles,sca himoyasi,sca jonli o'tadi,sca o'lik o'tib ketdi,sca per90,sca suratlari,skal,tashiydi,tegadi att 3-o'rin,tegadi def 3-o'rin,teginishlar,to'plar orqali,to'pni tiklash,to'siqlar,to'siqlarni bartaraf etadi,tozalash,uchun maqsadlar to'g'risida,uchun xg-da,umumiy masofani o'tkazadi,uzun uzunlikdagi kompyuterdan oʻtadi,uzundan-uzun o'tadi,xatolar,xg,xg net,xg per90,xg plus minus,xg plus minus per90,xg xg yordam per90,xg yordam per90,xg yordam to'ri,xg yordami,xochlar,yakuniy uchinchi o'ringa o'tadi,yordam berilgan zarbalar,yordamchilar,yordamchilar per90
Ghana,670,46,40,26.4,41,100,14,23,37,9,4,13,0,270,3.0,83,215,22,78.6,6,47.4,28,27,57,42.0,30,9,0,0,1,7,0,1,3.0,0,11.4,270,0.33,1,1,31,35.0,2.33,47,8,3,3,36.1,36,13,35.5,53.2,6.5,-0.5,-0.18,1,0,1,0,0.0,64.7,10,0,0.0,41.6,58,2,3.4,2,0.2,2.33,2.33,90,16,36,36.7,62,56,0,20,4,12,1101,1615,0,8,0,84.9,5,1.67,5,1.67,54,16,7,31,34,36.0,0.56,9,3.0,46,3.4,0.14,1.6,1.13,1.7,5.1,151,25,0,8.33,19.0,443,972,376,1.5,1256,25,99,4,1.0,3,33,15,18,0,4,4,61,89.1,77.4,-0.67,6225,62,963,1,1,1,0,0,7,0,7,17,0.34,5.6,533,475,38,-2,2,1,0,36,3,14.67,2,44,34,338,630,1616,1,146,19,73,84,5,4.1,16652,47.1,210,1,4.1,0.9,1.38,-1.4,-0.48,1.95,0.57,0.3,1.7,49,67,18,2,0.67
Iran,592,38,44,29.3,31,100,8,29,37,3,3,8,0,270,3.0,76,181,23,41.1,33,32.4,56,11,34,36.7,23,8,1,0,2,4,0,1,2.67,0,6.5,270,0.0,0,1,20,59.5,2.33,56,17,3,3,28.3,46,13,90.0,50.0,5.5,-1.5,-0.5,0,0,0,0,-1.0,53.3,8,1,33.3,38.1,46,4,8.7,1,0.09,1.67,2.0,90,29,43,46.7,49,56,1,21,3,17,972,1427,0,7,0,78.1,4,1.33,3,1.0,53,18,6,29,29,25.0,0.38,8,2.67,38,2.8,0.09,0.2,0.94,1.75,5.2,128,32,0,10.67,20.6,425,769,332,2.7,1106,24,96,13,1.0,3,33,16,17,0,6,6,54,81.7,69.5,-1.0,5637,56,753,1,0,1,0,1,7,0,7,15,0.37,4.2,382,312,26,-3,5,1,0,43,4,19.33,5,58,19,302,557,1428,3,178,42,95,61,4,3.2,14148,42.7,225,0,3.2,0.8,1.07,-0.9,-0.32,1.88,0.81,-0.4,2.4,48,55,26,2,0.67
Japan,1024,58,66,28.8,43,100,19,43,62,9,6,19,0,390,4.3,83,268,25,59.5,17,36.7,42,18,49,35.8,38,8,0,0,1,5,1,1,1.85,1,8.4,390,0.0,0,2,26,45.7,0.92,86,12,4,4,22.2,54,12,61.5,44.2,5.3,1.3,0.31,1,0,1,0,0.0,84.2,15,0,0.0,35.8,61,4,6.6,1,0.11,2.08,2.08,98,33,59,43.7,76,71,0,22,8,24,1572,2234,0,6,0,82.8,5,1.15,5,1.15,70,34,7,29,38,31.8,0.36,14,3.23,60,5.0,0.12,0.0,1.15,1.96,8.5,169,44,2,10.15,16.8,652,1324,540,2.5,1750,29,125,10,1.75,4,44,20,24,0,9,9,77,86.5,75.7,0.23,7896,79,1302,0,1,0,0,0,4,0,4,19,0.24,5.7,735,636,36,1,4,2,2,51,6,17.31,10,75,36,453,778,2234,4,220,34,104,101,5,5.0,23079,44.2,283,2,5.0,0.0,1.15,-0.7,-0.15,1.96,0.81,0.5,3.5,55,101,31,4,0.92
Korea Republic,1031,45,74,29.0,39,100,8,23,31,9,11,24,0,360,4.0,82,232,30,58.8,21,24.1,51,13,54,48.3,44,8,0,1,2,5,0,0,2.0,1,15.2,360,1.25,5,1,29,43.3,2.0,99,12,4,4,26.2,42,11,48.3,28.3,6.6,-1.4,-0.34,1,0,1,0,0.0,63.2,11,1,25.0,31.5,47,3,6.4,2,0.1,2.0,2.0,90,21,72,55.0,59,79,0,21,12,38,1832,2401,0,6,0,86.4,5,1.25,5,1.25,59,23,8,28,33,36.0,0.28,18,4.5,47,4.6,0.09,0.4,1.14,1.98,7.9,183,50,2,12.5,18.3,777,1619,671,3.0,2022,33,209,34,1.0,4,44,16,28,0,7,7,107,89.0,80.1,-0.75,10119,112,1593,0,1,0,0,0,8,0,8,19,0.3,7.1,792,705,34,-3,4,2,2,65,7,21.5,6,86,26,671,712,2401,1,175,31,90,66,5,4.6,30139,58.1,360,1,4.6,0.4,1.14,-2.5,-0.63,1.98,0.83,-0.3,3.3,92,150,36,3,0.75
Mexico,887,51,51,29.0,49,100,2,29,31,6,8,16,0,270,3.0,83,134,25,56.8,19,44.2,44,19,43,54.0,33,4,0,0,1,2,1,0,1.33,1,12.9,270,1.0,3,1,26,32.8,1.0,81,12,3,3,41.7,24,10,30.8,19.8,3.0,0.0,-0.01,1,1,0,0,100.0,50.0,2,1,33.3,28.1,28,0,0.0,1,0.05,1.0,1.0,90,21,48,48.5,51,63,0,21,10,19,1277,1768,0,7,0,82.0,2,0.67,2,0.67,50,26,3,21,27,36.6,0.13,15,5.0,50,3.3,0.08,-1.3,1.09,1.99,6.0,160,41,6,13.67,21.9,588,1097,482,3.4,1450,33,117,13,1.33,3,33,12,21,0,13,13,74,84.7,75.7,-0.33,7015,77,1081,0,1,0,0,1,3,0,3,6,0.33,2.4,570,483,48,-1,8,3,0,52,9,25.0,3,75,30,392,504,1768,9,151,25,75,48,2,3.3,19868,52.7,222,0,3.3,-1.3,1.09,0.9,0.3,1.99,0.9,-1.7,2.7,79,95,25,1,0.33
Morocco,892,74,51,27.3,67,100,13,53,66,2,1,6,0,480,5.3,86,372,54,58.1,39,41.9,93,36,86,32.4,48,8,1,0,1,5,1,0,1.5,2,11.1,480,0.56,3,3,48,54.8,0.19,111,16,5,5,37.8,82,31,75.0,41.4,1.9,1.9,0.35,0,0,0,0,-1.0,87.5,8,4,80.0,36.5,91,4,4.4,0,0.13,1.69,1.69,96,23,53,45.3,64,90,0,22,8,21,1528,2390,1,6,1,81.7,5,0.94,5,0.94,104,31,7,66,63,33.3,0.38,13,2.44,95,4.5,0.11,0.5,0.84,1.59,8.5,221,39,3,7.31,20.8,562,1324,459,2.2,1763,30,169,30,2.2,5,55,25,30,1,14,14,61,87.7,75.1,0.75,9865,64,1301,0,0,0,0,0,1,1,1,8,0.23,4.7,740,649,57,4,6,5,0,48,5,12.38,2,66,32,368,1155,2390,2,262,51,155,144,5,4.5,23430,50.0,338,1,4.5,0.5,0.84,-0.2,-0.04,1.59,0.75,0.0,4.0,42,60,29,4,0.75
Netherlands,1789,87,74,27.6,66,100,18,40,58,7,8,19,0,480,5.3,86,341,34,61.8,21,31.1,55,19,61,53.0,52,16,0,0,1,12,1,2,3.0,2,13.3,480,0.94,5,3,40,35.7,0.75,152,34,5,5,40.0,55,22,40.0,25.7,6.5,2.5,0.47,1,0,1,0,0.0,86.4,18,2,40.0,29.2,63,6,9.5,0,0.24,3.38,3.38,96,25,79,53.0,70,107,0,21,6,28,2743,3509,1,12,1,87.9,10,1.87,10,1.87,91,40,12,39,47,38.1,0.63,16,3.0,73,4.6,0.12,5.4,0.86,1.41,7.5,242,42,1,7.88,16.1,1130,2472,993,3.5,2993,38,230,15,2.2,5,55,23,31,0,8,8,145,88.5,82.6,1.13,14660,149,2439,0,1,0,0,0,4,0,4,22,0.25,6.1,1351,1195,50,6,3,0,0,54,8,13.31,6,71,44,678,1065,3509,7,241,52,143,97,10,4.6,41845,60.1,383,1,4.6,5.4,0.86,-1.5,-0.27,1.41,0.54,5.1,2.9,71,186,33,8,1.5
Poland,895,47,54,28.7,54,100,13,26,39,4,7,11,0,360,4.0,82,289,22,40.0,33,34.0,55,17,50,37.3,45,4,2,0,0,2,0,0,1.0,1,7.9,360,0.0,0,1,33,56.3,1.25,109,13,4,4,42.1,95,40,81.8,62.4,7.8,2.8,0.7,2,2,0,0,100.0,82.1,21,2,50.0,43.3,66,1,1.5,2,0.07,0.75,1.0,90,23,51,45.9,60,73,1,21,8,15,1342,1954,0,7,0,86.0,3,0.75,2,0.5,64,22,9,33,30,17.2,0.4,5,1.25,57,2.9,0.11,-0.9,0.74,1.18,4.7,188,29,1,7.25,15.5,580,1169,499,2.3,1531,43,139,19,1.0,4,44,15,29,0,1,1,49,87.8,76.4,-0.5,8533,50,1147,2,2,1,0,0,5,0,5,28,0.22,7.3,564,495,47,-2,4,7,0,32,6,13.0,3,52,30,365,715,1956,1,164,30,94,110,3,4.5,21855,48.1,289,2,4.5,-1.5,1.14,-2.7,-0.69,1.58,0.44,-0.8,1.8,52,80,22,1,0.25
Portugal,1722,55,103,27.8,71,100,12,31,43,5,13,28,0,450,5.0,82,267,30,54.5,25,41.0,55,25,61,60.4,40,21,1,0,1,17,2,0,4.2,0,15.9,450,1.6,8,3,35,39.6,1.2,123,22,5,5,25.0,52,13,37.1,31.7,6.0,0.0,-0.01,0,0,0,0,-1.0,64.7,11,1,20.0,33.2,47,3,6.4,2,0.16,4.0,4.4,90,18,66,55.5,53,93,2,24,14,45,2888,3554,0,6,0,88.6,12,2.4,10,2.0,66,25,10,31,44,37.5,0.42,24,4.8,71,6.2,0.1,3.8,1.24,2.29,11.4,240,64,2,12.8,19.2,1149,2631,1018,4.5,3142,42,289,45,1.8,5,55,25,30,0,14,14,163,91.8,83.7,1.2,13910,165,2596,2,0,1,0,2,6,0,6,17,0.35,6.5,1384,1271,65,6,6,3,2,89,13,23.4,4,117,30,878,975,3556,6,256,35,101,58,12,7.8,46643,61.6,469,3,7.8,4.2,1.56,1.3,0.25,2.6,1.04,4.8,5.2,102,173,49,10,2.0
Qatar,839,31,24,29.0,57,100,4,17,21,7,1,9,0,270,3.0,84,180,14,37.8,23,38.1,37,16,42,43.0,32,2,0,0,0,2,0,0,0.67,0,13.0,270,1.0,3,0,24,22.1,2.33,58,13,3,3,36.4,22,8,12.5,32.8,4.3,-2.7,-0.89,1,0,1,0,0.0,50.0,5,0,0.0,30.0,33,1,3.0,3,0.05,0.67,0.67,90,17,36,48.6,38,53,0,20,6,13,1246,1661,0,7,0,86.2,1,0.33,1,0.33,38,13,4,21,22,30.0,0.17,6,2.0,44,1.4,0.07,-0.4,0.47,0.87,2.6,154,20,0,6.67,21.5,494,1129,426,1.6,1407,38,135,23,0.0,3,33,11,22,0,7,7,48,89.5,80.2,-2.0,6322,49,1122,0,1,0,0,1,7,0,7,12,0.35,3.5,580,519,45,-6,2,0,3,30,3,12.67,0,38,22,251,584,1661,3,138,24,62,44,1,1.4,19847,59.2,228,2,1.4,-0.4,0.47,-2.1,-0.71,0.87,0.39,-0.2,1.2,42,61,16,1,0.33
Saudi Arabia,674,56,64,28.1,55,100,13,27,40,2,3,8,0,270,3.0,82,186,15,45.5,18,28.6,33,12,42,44.7,23,4,0,0,0,3,0,1,1.33,0,18.0,270,4.67,14,1,29,48.3,1.67,71,14,3,3,30.2,53,16,65.5,47.9,6.8,1.8,0.59,1,0,1,0,0.0,78.9,14,0,0.0,40.5,55,4,7.3,2,0.11,1.67,1.67,90,20,45,47.9,49,59,0,23,5,23,1043,1550,0,14,0,76.9,3,1.0,3,1.0,47,16,4,27,23,28.6,0.38,8,2.67,60,2.1,0.08,0.9,0.71,1.18,3.5,159,28,2,9.33,18.7,411,870,316,1.4,1205,36,95,14,1.0,3,33,14,21,0,3,3,73,86.2,72.2,-0.67,5828,76,852,1,1,1,1,1,5,0,5,19,0.31,6.0,486,419,38,-2,4,3,0,31,2,14.67,4,44,24,409,493,1551,2,132,31,78,67,3,3.0,14844,46.3,205,1,3.0,0.0,0.99,-3.0,-1.01,1.47,0.47,0.6,1.4,39,70,18,2,0.67
Senegal,887,48,66,27.7,61,100,6,28,34,10,6,21,0,360,4.0,82,235,20,55.6,16,44.1,36,26,59,44.8,37,9,0,0,2,6,1,0,2.25,0,11.8,360,0.5,2,2,26,30.1,1.75,94,15,4,4,34.1,44,15,26.9,39.4,5.4,-1.6,-0.41,0,0,0,0,-1.0,50.0,7,0,0.0,35.5,64,3,4.7,2,0.08,1.5,1.75,90,22,72,53.3,63,71,1,20,10,29,1488,2086,0,7,0,84.5,5,1.25,4,1.0,43,17,2,24,32,23.5,0.33,12,3.0,60,3.8,0.07,0.2,0.94,1.55,6.2,191,51,2,12.75,18.5,581,1310,491,2.8,1687,22,151,23,1.5,4,44,17,27,0,8,8,79,89.6,77.7,-0.5,7970,81,1287,1,0,1,0,1,7,0,7,14,0.41,3.5,681,610,57,-2,7,5,1,66,5,21.75,3,87,45,525,700,2087,5,192,31,74,96,5,4.6,22903,49.5,305,1,4.6,0.4,1.14,1.0,0.26,1.75,0.61,-0.5,2.5,71,93,36,2,0.5
Serbia,864,43,56,27.4,30,100,10,31,41,4,5,9,0,270,3.0,80,199,27,60.0,18,32.1,45,9,28,51.3,28,8,0,0,1,6,1,0,2.67,1,20.3,270,2.67,8,0,21,57.2,2.67,104,21,3,3,34.0,50,17,71.4,33.7,7.7,-0.3,-0.11,0,0,0,0,-1.0,66.7,16,0,0.0,34.2,28,3,10.7,2,0.16,3.0,3.0,90,22,43,53.1,38,58,0,22,8,21,1381,1816,0,11,0,84.6,5,1.67,5,1.67,53,23,8,22,22,28.1,0.56,9,3.0,49,3.4,0.11,1.6,1.12,2.07,6.2,129,32,0,10.67,16.5,628,1181,531,2.8,1514,30,110,17,0.33,3,33,15,18,0,4,4,72,87.4,78.0,-1.0,7345,73,1171,0,0,0,0,1,8,0,8,24,0.33,7.3,573,501,28,-3,2,1,3,37,6,17.0,2,51,22,392,581,1816,8,161,22,75,49,5,3.4,20846,48.9,225,3,3.4,1.6,1.12,-3.9,-1.32,2.07,0.95,1.1,2.9,56,86,25,4,1.33
Spain,2596,41,87,26.3,64,100,4,27,31,4,4,21,0,390,4.3,84,222,16,41.0,23,30.0,39,24,80,75.8,40,16,0,0,1,15,0,0,3.69,2,15.7,390,1.38,6,1,22,21.4,0.69,138,19,4,4,63.6,11,7,4.5,7.2,3.7,0.7,0.17,0,0,0,0,-1.0,66.7,6,2,50.0,22.0,22,4,18.2,1,0.17,3.0,3.23,98,30,41,51.3,39,102,1,21,8,46,3727,4299,0,2,0,93.1,9,2.08,8,1.85,53,25,9,19,32,33.3,0.5,16,3.69,70,5.4,0.11,2.6,1.24,2.16,9.4,219,48,1,11.08,18.3,1921,3542,1788,4.4,3957,54,268,20,1.25,4,44,20,25,0,11,11,169,93.7,89.5,1.38,15639,175,3500,1,0,1,0,0,3,0,3,9,0.41,3.4,1519,1423,46,6,4,1,0,82,6,21.46,0,93,41,937,789,4300,13,225,19,72,37,9,6.2,62461,75.1,357,3,6.2,2.8,1.42,2.7,0.63,2.34,0.92,1.0,4.0,69,291,37,5,1.15
Switzerland,1098,53,54,28.5,56,100,11,24,35,15,2,20,0,360,4.0,82,274,23,59.0,16,21.6,39,8,37,49.0,35,8,0,0,0,8,0,0,2.0,0,10.5,360,0.25,1,2,27,22.6,2.25,120,23,4,4,28.6,21,6,11.1,15.0,8.6,-0.4,-0.09,0,0,0,0,-1.0,60.9,14,1,25.0,25.7,68,2,2.9,2,0.14,2.25,2.25,90,19,45,47.9,49,83,0,24,2,20,1856,2407,0,9,0,86.3,5,1.25,5,1.25,48,17,6,25,25,32.4,0.42,12,3.0,55,5.6,0.16,-0.6,1.41,2.3,9.2,201,37,2,9.25,15.9,886,1663,765,3.6,2063,36,147,16,1.5,4,44,19,25,0,6,6,115,89.1,80.6,-1.0,9586,116,1645,0,0,0,0,1,9,0,9,23,0.38,5.3,807,719,49,-4,1,0,0,50,7,16.0,6,64,43,485,846,2407,1,190,24,72,78,5,5.6,29186,55.5,265,1,5.6,-0.6,1.41,0.3,0.08,2.3,0.89,0.4,3.6,52,109,27,4,1.0
Tunisia,745,40,60,27.7,32,100,9,32,41,12,6,21,1,270,3.0,84,193,27,71.1,11,41.3,38,19,46,44.3,33,2,0,0,0,2,0,0,0.67,1,12.0,270,0.0,0,1,18,51.1,0.33,59,7,3,3,36.6,41,15,66.7,49.2,2.4,1.4,0.46,0,0,0,0,-1.0,90.0,9,2,66.7,39.9,52,0,0.0,1,0.03,0.67,0.67,90,18,48,45.7,57,94,0,21,4,20,1174,1725,0,5,0,85.6,1,0.33,1,0.33,64,27,5,32,36,25.0,0.13,8,2.67,52,2.3,0.07,-1.3,0.77,1.41,4.2,171,32,0,10.67,18.0,611,998,523,1.8,1352,39,114,12,1.33,3,33,12,21,0,7,7,86,83.3,73.8,0.0,7520,88,977,0,0,0,0,0,1,0,1,10,0.24,2.8,425,354,28,0,0,2,1,40,8,19.0,6,57,49,343,654,1725,5,170,25,89,85,1,2.3,19453,44.7,255,1,2.3,-1.3,0.77,-0.5,-0.17,1.41,0.64,-0.9,1.9,61,89,22,1,0.33
United States,1254,45,91,25.3,46,100,4,40,44,14,6,22,1,360,4.0,82,225,25,58.1,18,40.9,43,27,66,53.0,41,6,0,0,0,6,0,0,1.5,2,13.8,360,1.25,5,1,20,48.1,1.0,108,24,4,4,34.2,38,13,60.0,24.1,3.4,-0.6,-0.15,1,0,1,0,0.0,75.0,8,2,50.0,29.4,42,7,16.7,1,0.07,1.5,1.5,90,18,53,50.0,53,81,0,20,6,30,2053,2658,0,5,0,87.9,3,0.75,3,0.75,52,16,5,31,34,28.9,0.23,13,3.25,75,4.1,0.09,-1.1,1.01,1.89,7.6,176,45,1,11.25,17.1,927,1816,815,3.3,2234,49,160,16,1.25,4,44,19,25,0,5,5,118,89.4,81.3,-0.25,10479,120,1778,0,1,0,0,0,4,0,4,12,0.2,4.4,895,800,40,-1,0,6,0,68,4,20.5,4,82,45,696,730,2658,3,212,25,77,66,3,4.1,32313,56.9,281,0,4.1,-1.1,1.01,-0.3,-0.07,1.89,0.87,-0.5,3.5,93,130,37,3,0.75
Uruguay,888,34,50,28.5,41,100,8,31,39,2,4,8,0,270,3.0,81,153,22,47.8,24,26.5,46,9,34,48.7,28,3,0,0,0,2,0,1,1.0,1,11.0,270,0.67,2,1,24,29.9,0.67,54,6,3,3,22.2,27,6,29.2,37.0,3.0,1.0,0.34,2,1,1,0,50.0,85.7,4,2,66.7,33.4,33,2,6.1,1,0.06,1.0,1.0,90,20,53,53.0,47,64,0,19,6,22,1353,1836,0,8,0,81.2,2,0.67,2,0.67,51,19,4,28,31,30.3,0.2,10,3.33,51,3.7,0.12,-1.7,1.23,2.15,6.4,142,33,1,11.0,19.2,563,1155,457,2.7,1498,31,136,9,1.33,3,33,14,19,0,3,3,83,84.6,77.1,0.0,7194,88,1141,0,2,0,0,0,2,0,2,7,0.16,3.5,623,527,36,0,4,2,0,50,5,21.0,2,63,27,391,574,1836,4,166,32,83,54,2,3.7,20435,61.3,222,1,3.7,-1.7,1.23,0.1,0.05,2.15,0.92,-1.8,2.8,41,100,25,1,0.33
Wales,754,35,40,27.7,36,100,15,26,41,4,1,6,0,270,3.0,81,211,15,50.0,15,25.0,30,9,36,46.7,31,2,0,0,1,0,1,0,0.67,1,9.4,269,0.67,2,0,25,49.0,2.01,80,20,3,3,43.4,53,23,68.0,45.0,4.9,-1.1,-0.35,0,0,0,0,-1.0,57.1,8,0,0.0,35.1,48,3,6.3,1,0.0,0.0,0.33,90,23,42,50.6,41,73,1,18,5,12,1213,1698,1,5,0,84.1,1,0.33,0,0.0,40,19,5,16,27,26.1,0.0,6,2.0,45,1.9,0.09,-1.9,0.65,1.23,3.7,149,23,1,7.67,20.4,578,1044,486,1.3,1366,30,155,19,0.33,3,33,13,19,0,4,4,64,84.3,76.4,-1.67,7567,65,1021,1,0,1,1,0,6,0,6,14,0.35,4.6,451,380,33,-5,4,0,1,31,5,15.0,4,45,21,322,629,1699,2,147,21,61,78,1,2.7,20874,59.4,261,3,2.7,-1.7,0.91,-1.9,-0.63,1.49,0.59,-1.8,1.8,36,62,18,0,0.0
